,rank,title,author,score,vote,rating
452,451,"Transcendence: Aurora Rising Book Three (Aurora Rhapsody, #3)",G.S. Jennsen,score: 193,2 people voted, 4.32 avg rating — 877 ratings
453,451,Time Shifters,Shanna Lauffey,score: 193,2 people voted, 3.89 avg rating — 44 ratings
454,455,Groundties,Jane S. Fancher,score: 192,3 people voted, 3.64 avg rating — 96 ratings
455,455,Heat,R. Lee Smith,score: 192,2 people voted," 3.81 avg rating — 1,845 ratings"
456,455,"Hunted (Sinners, #2)",Abi Ketner,score: 192,2 people voted," 4.13 avg rating — 1,093 ratings"
457,458,"Spin Control (Spin Trilogy, #2)",Chris Moriarty,score: 191,3 people voted, 3.78 avg rating — 974 ratings
458,458,Perseus Spur (Rampart Worlds #1),Julian May,score: 191,2 people voted, 3.65 avg rating — 630 ratings
459,458,Gethyon,Pippa Jay,score: 191,2 people voted, 4.62 avg rating — 24 ratings
460,458,"Lightspeed Magazine, June 2014: Women Destroy Science Fiction! Special Issue",Christie Yant,score: 191,3 people voted, 4.12 avg rating — 598 ratings
461,462,"The Kif Strike Back (Chanur, #3)",C.J. Cherryh,score: 190,5 people voted," 4.09 avg rating — 2,238 ratings"
462,462,The Power,Naomi Alderman,score: 190,2 people voted," 3.85 avg rating — 105,824 ratings"
463,464,Towers of Darkover (Darkover Series),Marion Zimmer Bradley,score: 189,3 people voted, 3.91 avg rating — 834 ratings
464,464,Chanur's Legacy (Chanur #5),C.J. Cherryh,score: 189,4 people voted," 4.09 avg rating — 1,960 ratings"
465,464,"Carve the Mark (Carve the Mark, #1)",Veronica Roth,score: 189,2 people voted," 3.77 avg rating — 47,799 ratings"
466,467,Tin Cat,Misa Buckley,score: 188,2 people voted, 4.15 avg rating — 26 ratings
467,467,"Crescent City Rhapsody (Nanotech, #3)",Kathleen Ann Goonan,score: 188,2 people voted, 3.66 avg rating — 246 ratings
468,467,"Her Cyborg Awakes (Diaspora Worlds, #1)",Melisse Aires,score: 188,2 people voted, 3.41 avg rating — 505 ratings
469,467,The House on the Strand,Daphne du Maurier,score: 188,2 people voted," 3.85 avg rating — 8,416 ratings"
470,467,"Ronan (Ziva Payvan, #3)",E.J. Fisch,score: 188,2 people voted, 4.40 avg rating — 45 ratings
471,472,"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",Abbi Glines,score: 187,2 people voted," 4.19 avg rating — 152,446 ratings"
472,473,Alanya to Alanya,L. Timmel Duchamp,score: 186,2 people voted, 3.65 avg rating — 97 ratings
473,473,"Shadow Leader (Wolfwalker, #2)",Tara K. Harper,score: 186,2 people voted, 4.09 avg rating — 561 ratings
474,473,Unknown Futures (1Night Stand #76),Jessica E. Subject,score: 186,2 people voted, 3.71 avg rating — 49 ratings
475,476,Shadow Team GB,J M Johnson,score: 185,2 people voted,it was amazing 5.00 avg rating — 4 ratings
476,477,Glass and Amber,C.J. Cherryh,score: 184,3 people voted, 3.96 avg rating — 27 ratings
477,478,Alliance Space (Company Wars #2)(The Era of Rapprochement #2),C.J. Cherryh,score: 183,3 people voted, 4.22 avg rating — 366 ratings
478,478,"Pilots Choice (Liaden Universe, #5-6)",Sharon Lee,score: 183,3 people voted, 4.52 avg rating — 710 ratings
479,478,"Dragondrums (Harper Hall, #3)",Anne McCaffrey,score: 183,3 people voted," 4.06 avg rating — 30,614 ratings"
480,478,"Origin (Lux, #4)",Jennifer L. Armentrout,score: 183,2 people voted," 4.42 avg rating — 77,976 ratings"
481,482,Red Sun of Darkover (Darkover Series),Marion Zimmer Bradley,score: 182,3 people voted," 3.85 avg rating — 1,101 ratings"
482,483,Sunfall,C.J. Cherryh,score: 181,3 people voted, 3.70 avg rating — 333 ratings
483,484,Remake,Connie Willis,score: 180,4 people voted," 3.37 avg rating — 1,672 ratings"
484,484,"Transformation Space (Sentients of Orion, #4)",Marianne de Pierres,score: 180,2 people voted, 3.98 avg rating — 102 ratings
485,484,The People of Sparks,Jeanne DuPrau,score: 180,2 people voted," 3.66 avg rating — 48,010 ratings"
486,487,"Rebels and Lovers (Dock Five Universe, #4)",Linnea Sinclair,score: 179,3 people voted, 3.93 avg rating — 872 ratings
487,487,Snows of Darkover (Darkover Anthology Series),Marion Zimmer Bradley,score: 179,3 people voted, 3.82 avg rating — 692 ratings
488,487,"Found (The Missing, #1)",Margaret Peterson Haddix,score: 179,2 people voted," 3.98 avg rating — 35,686 ratings"
489,490,"Replica (Replica, #1)",Jenna Black,score: 178,2 people voted, 3.45 avg rating — 949 ratings
490,490,"The Golden Sword (Silistra, #2)",Janet E. Morris,score: 178,2 people voted, 4.26 avg rating — 103 ratings
491,492,The Good House,Tananarive Due,score: 177,2 people voted," 3.92 avg rating — 2,712 ratings"
492,492,"The Complete Ivory (Ivory, #1-3)",Doris Egan,score: 177,3 people voted, 4.18 avg rating — 259 ratings
493,492,"Ratha's Creature (The Named, #1)",Clare Bell,score: 177,2 people voted," 4.04 avg rating — 1,935 ratings"
494,492,"The Moon's Shadow (Saga of the Skolian Empire, #8)",Catherine Asaro,score: 177,2 people voted, 3.94 avg rating — 793 ratings
495,492,Honor's Knight (Paradox #2),Rachel Bach,score: 177,2 people voted," 3.98 avg rating — 7,779 ratings"
496,492,Heaven's Queen  (Paradox #3),Rachel Bach,score: 177,2 people voted," 3.95 avg rating — 6,067 ratings"
497,492,Anthem,Ayn Rand,score: 177,2 people voted," 3.63 avg rating — 120,808 ratings"
498,499,Enchanted Glass,Diana Wynne Jones,score: 176,2 people voted," 3.87 avg rating — 5,165 ratings"
499,499,"Ghost in the Machine (Corwint Central Agent Files, #1)",C.E. Kilgore,score: 176,2 people voted, 3.67 avg rating — 325 ratings
500,501,"The Hounds of Skaith (The Book of Skaith, #2)",Leigh Brackett,score: 175,2 people voted, 3.73 avg rating — 290 ratings
501,501,"Pandemonium (Delirium, #2)",Lauren Oliver,score: 175,2 people voted," 4.06 avg rating — 208,351 ratings"
502,501,"The Planet Savers & The Sword of Aldones (Darkover, #19-20)",Marion Zimmer Bradley,score: 175,3 people voted, 3.79 avg rating — 683 ratings
503,501,"Damia (The Tower and the Hive, #2)",Anne McCaffrey,score: 175,2 people voted,"really liked it 4.00 avg rating — 11,160 ratings"
504,505,"The Machine's Child (The Company, #7)",Kage Baker,score: 174,3 people voted," 3.87 avg rating — 1,220 ratings"
505,506,Sovran's Pawn,J.C. Cassels,score: 173,2 people voted, 3.96 avg rating — 121 ratings
506,506,"The Star Thief (Star Thief Chronicles, #1)",Jamie Grey,score: 173,2 people voted," 3.50 avg rating — 1,755 ratings"
507,508,"Heavy Time (The Company Wars, #4)",C.J. Cherryh,score: 172,3 people voted," 3.79 avg rating — 1,559 ratings"
508,508,"End of Days (Penryn & the End of Days, #3)",Susan Ee,score: 172,2 people voted," 4.10 avg rating — 49,101 ratings"
509,508,"A Thousand Pieces of You (Firebird, #1)",Claudia Gray,score: 172,2 people voted," 3.92 avg rating — 40,836 ratings"
510,511,"Razor's Edge (Star Wars: Empire and Rebellion, #1)",Martha Wells,score: 171,3 people voted," 3.70 avg rating — 2,210 ratings"
511,511,"Starbridge (Starbridge, #1)",A.C. Crispin,score: 171,2 people voted, 3.85 avg rating — 441 ratings
512,513,Kalpa Imperial: The Greatest Empire That Never Was,Angélica Gorodischer,score: 170,2 people voted, 3.97 avg rating — 757 ratings
513,513,"The Summer Queen (The Snow Queen Cycle, #3)",Joan D. Vinge,score: 170,3 people voted," 4.05 avg rating — 3,018 ratings"
514,515,Downside Girls,Jaine Fenn,score: 168,2 people voted, 3.94 avg rating — 86 ratings
515,515,"Starheart (Ptorix Empire, #3)",Greta van der Rol,score: 168,2 people voted, 3.77 avg rating — 78 ratings
516,515,Ancient Light (Orthe #2),Mary Gentle,score: 168,2 people voted, 3.64 avg rating — 346 ratings
517,515,Golden Witchbreed (Orthe #1),Mary Gentle,score: 168,2 people voted, 3.73 avg rating — 986 ratings
518,519,"Mirror Space (Sentients of Orion, #3)",Marianne de Pierres,score: 167,2 people voted, 3.98 avg rating — 114 ratings
519,519,"Feed (Newsflesh Trilogy, #1)",Mira Grant,score: 167,2 people voted," 3.85 avg rating — 48,179 ratings"
520,521,The Two Of Them,Joanna Russ,score: 166,2 people voted, 3.60 avg rating — 186 ratings
521,521,"The Awakening (Vampire Huntress, #2)",L.A. Banks,score: 166,2 people voted," 3.99 avg rating — 3,341 ratings"
522,521,Venus of Dreams,Pamela Sargent,score: 166,2 people voted, 3.58 avg rating — 192 ratings
523,521,Outside,Andre Norton,score: 166,2 people voted, 3.85 avg rating — 86 ratings
524,521,"A Ring of Endless Light (Austin Family, #4)",Madeleine L'Engle,score: 166,2 people voted," 4.15 avg rating — 17,762 ratings"
525,521,Jagannath,Karin Tidbeck,score: 166,2 people voted," 4.07 avg rating — 2,616 ratings"
526,527,Herland,Charlotte Perkins Gilman,score: 165,4 people voted," 3.50 avg rating — 12,865 ratings"
527,528,A Mere Formality,Ilona Andrews,score: 164,2 people voted," 3.89 avg rating — 2,352 ratings"
528,528,"The Hundred Thousand Kingdoms (Inheritance Trilogy, #1)",N.K. Jemisin,score: 164,2 people voted," 3.84 avg rating — 42,876 ratings"
529,530,"DarkShip Thieves (Darkship, #1)",Sarah A. Hoyt,score: 163,2 people voted," 3.59 avg rating — 1,672 ratings"
530,530,Superluminal,Vonda N. McIntyre,score: 163,3 people voted, 3.65 avg rating — 220 ratings
531,530,Ghost Planet,Sharon Lynn Fisher,score: 163,3 people voted," 3.60 avg rating — 1,539 ratings"
532,530,The Vulcan Academy Murders,Jean Lorrah,score: 163,2 people voted," 3.88 avg rating — 1,754 ratings"
533,534,Four Moons of Darkover (Darkover Series),Marion Zimmer Bradley,score: 162,3 people voted, 3.84 avg rating — 538 ratings
534,535,Pangaea  Book I: Imperium Without End,Lisa Mason,score: 161,2 people voted, 3.73 avg rating — 22 ratings
535,535,Keir,Pippa Jay,score: 161,2 people voted, 3.70 avg rating — 243 ratings
536,535,Key Out of Time (Time Traders / Ross Murdock #4),Andre Norton,score: 161,2 people voted," 3.84 avg rating — 1,206 ratings"
537,538,Wreck of the Nebula Dream,Veronica  Scott,score: 160,2 people voted, 3.96 avg rating — 287 ratings
538,539,Æstival Tide,Elizabeth Hand,score: 159,2 people voted, 3.98 avg rating — 266 ratings
539,539,The House Between the Worlds,Marion Zimmer Bradley,score: 159,2 people voted, 3.74 avg rating — 859 ratings
540,541,Pilgrimage: The Book of the People,Zenna Henderson,score: 157,3 people voted," 4.34 avg rating — 1,318 ratings"
541,542,The Bones of the Sea,Pippa Jay,score: 156,2 people voted, 4.29 avg rating — 34 ratings
542,543,Hexwood,Diana Wynne Jones,score: 154,2 people voted," 3.99 avg rating — 3,865 ratings"
543,543,Brain Camp,Susan Kim,score: 154,2 people voted," 3.67 avg rating — 3,464 ratings"
544,543,"Glass Houses (The Morganville Vampires, #1)",Rachel Caine,score: 154,2 people voted," 3.92 avg rating — 87,644 ratings"
545,543,Ironhaven,Misa Buckley,score: 154,2 people voted, 3.70 avg rating — 23 ratings
546,543,"Tinker (Elfhome, #1)",Wen Spencer,score: 154,5 people voted," 4.07 avg rating — 4,873 ratings"
547,548,"Many Waters (Time Quintet, #4)",Madeleine L'Engle,score: 153,2 people voted," 3.99 avg rating — 40,337 ratings"
548,549,"The Key (Project Enterprise, #1)",Pauline Baird Jones,score: 152,2 people voted, 3.82 avg rating — 472 ratings
549,549,"The Time Travelers (The Gideon Trilogy, #1)",Linda Buckley-Archer,score: 152,2 people voted," 3.72 avg rating — 6,154 ratings"
550,551,"Celestial Seduction (1Night Stand, #17)",Jessica E. Subject,score: 151,2 people voted, 3.80 avg rating — 142 ratings
551,552,"Nylon Angel (Parrish Plessis, #1)",Marianne de Pierres,score: 150,2 people voted, 3.51 avg rating — 617 ratings
552,553,Cloud's Rider (Finisterre #2),C.J. Cherryh,score: 149,3 people voted, 3.93 avg rating — 773 ratings
553,553,The Telling (Hainish Cycle #8),Ursula K. Le Guin,score: 149,2 people voted," 3.90 avg rating — 5,088 ratings"
554,555,Stretto,L. Timmel Duchamp,score: 148,2 people voted, 4.32 avg rating — 25 ratings
555,555,"Moreta: Dragonlady of Pern (Pern, #7)",Anne McCaffrey,score: 148,4 people voted," 3.99 avg rating — 24,861 ratings"
556,555,America Pacifica,Anna North,score: 148,2 people voted, 3.08 avg rating — 962 ratings
557,558,Renegade,L. Timmel Duchamp,score: 145,2 people voted, 3.95 avg rating — 38 ratings
558,558,"An Exchange of Hostages (Jurisdiction, #1)",Susan R. Matthews,score: 145,2 people voted, 3.88 avg rating — 443 ratings
559,558,"Tangled Up in Blue (The Snow Queen Cycle, #4)",Joan D. Vinge,score: 145,4 people voted, 3.61 avg rating — 558 ratings
560,558,"Burn for Me (Hidden Legacy, #1)",Ilona Andrews,score: 145,2 people voted," 4.34 avg rating — 33,484 ratings"
561,562,"Testament (Harmony of Worlds, #1)",Valerie J. Freireich,score: 144,2 people voted, 3.95 avg rating — 55 ratings
562,562,Daughters of the North,Sarah Hall,score: 144,2 people voted," 3.39 avg rating — 3,382 ratings"
563,562,Silently and Very Fast,Catherynne M. Valente,score: 144,2 people voted," 4.12 avg rating — 1,529 ratings"
564,562,"Magic Gifts (Kate Daniels, #5.4)",Ilona Andrews,score: 144,2 people voted," 4.35 avg rating — 17,566 ratings"
565,566,"Unraveled (UN-Forgettable, #2)",C.J. Barry,score: 143,2 people voted, 3.89 avg rating — 259 ratings
566,567,The Exile Waiting,Vonda N. McIntyre,score: 141,3 people voted, 3.61 avg rating — 355 ratings
567,568,The Girl Who Was Plugged In/Screwtop,James Tiptree Jr.,score: 140,3 people voted, 3.94 avg rating — 283 ratings
568,569,"The Lost Steersman (The Steerswoman, #3)",Rosemary Kirstein,score: 139,2 people voted," 4.25 avg rating — 1,144 ratings"
569,569,"The Eyes of the Beholders (Star Trek: The Next Generation, #13)",A.C. Crispin,score: 139,2 people voted, 3.49 avg rating — 987 ratings
570,571,Hestia,C.J. Cherryh,score: 138,3 people voted, 3.50 avg rating — 402 ratings
571,571,"Migration (Species Imperative, #2)",Julie E. Czerneda,score: 138,2 people voted," 4.08 avg rating — 1,229 ratings"
572,571,Gate of Ivrel,C.J. Cherryh,score: 138,4 people voted," 3.93 avg rating — 2,207 ratings"
573,574,The Visitor,Sheri S. Tepper,score: 137,2 people voted," 3.80 avg rating — 1,699 ratings"
574,574,"The Language of Power (The Steerswoman, #4)",Rosemary Kirstein,score: 137,2 people voted," 4.33 avg rating — 1,011 ratings"
575,574,"Promised (Birthmarked, #3)",Caragh M. O'Brien,score: 137,2 people voted," 3.77 avg rating — 13,880 ratings"
576,574,"Darkship Renegades (Darkship, #2)",Sarah A. Hoyt,score: 137,2 people voted, 3.76 avg rating — 373 ratings
577,578,The Age of Miracles,Karen Thompson Walker,score: 136,2 people voted," 3.64 avg rating — 78,482 ratings"
578,578,A Drunken Dream and Other Stories,Moto Hagio,score: 136,2 people voted, 4.13 avg rating — 853 ratings
579,580,"Spirit: or, The Princess of Bois Dormant",Gwyneth Jones,score: 135,2 people voted, 3.52 avg rating — 101 ratings
580,580,"Prized (Birthmarked, #2)",Caragh M. O'Brien,score: 135,2 people voted," 3.98 avg rating — 22,403 ratings"
581,582,"Uplink (Netwalkers, #2)",Jane S. Fancher,score: 134,2 people voted, 3.72 avg rating — 60 ratings
582,582,"In the Light of Sigma Draconis (A Woman of the Iron People, #1)",Eleanor Arnason,score: 134,2 people voted, 3.80 avg rating — 35 ratings
583,582,"Altered (Crewel World, #2)",Gennifer Albin,score: 134,2 people voted," 3.68 avg rating — 4,417 ratings"
584,585,"Driven (Northern Waste, #1)",Eve Kenin,score: 133,3 people voted," 3.64 avg rating — 1,740 ratings"
585,585,"Birthmarked (Birthmarked, #1)",Caragh M. O'Brien,score: 133,2 people voted," 3.89 avg rating — 43,378 ratings"
586,587,"My Soul to Keep (African Immortals, #1)",Tananarive Due,score: 132,2 people voted," 4.18 avg rating — 3,966 ratings"
587,587,Arachne,Lisa Mason,score: 132,2 people voted, 3.57 avg rating — 77 ratings
588,587,"The Birthgrave (Birthgrave, #1)",Tanith Lee,score: 132,3 people voted," 3.76 avg rating — 1,364 ratings"
589,590,"The Program (The Program, #1)",Suzanne Young,score: 131,2 people voted," 4.06 avg rating — 39,638 ratings"
590,590,"Crewel (Crewel World, #1)",Gennifer Albin,score: 131,2 people voted," 3.73 avg rating — 17,088 ratings"
591,592,Jenna Starborn,Sharon Shinn,score: 130,2 people voted," 3.30 avg rating — 1,911 ratings"
592,593,Mindplayers,Pat Cadigan,score: 129,2 people voted, 3.76 avg rating — 574 ratings
593,593,Adventures in Time and Space with Max Merriwell,Pat Murphy,score: 129,2 people voted, 3.48 avg rating — 170 ratings
594,595,Nebula's Music,Aubrie Dionne,score: 127,2 people voted, 4.21 avg rating — 28 ratings
595,595,"The Lancaster Rule (Lancaster, #1)",T.K. Toppin,score: 127,2 people voted, 4.37 avg rating — 41 ratings
596,595,"After the Fall, Before the Fall, During the Fall",Nancy Kress,score: 127,3 people voted," 3.47 avg rating — 2,404 ratings"
597,598,Fools,Pat Cadigan,score: 126,2 people voted, 3.71 avg rating — 362 ratings
598,598,"Wolf Who Rules (Elfhome, #2)",Wen Spencer,score: 126,4 people voted," 4.20 avg rating — 2,823 ratings"
599,600,"Dark Space (Sentients of Orion, #1)",Marianne de Pierres,score: 125,2 people voted, 3.35 avg rating — 318 ratings
600,601,Brothers of Earth (Hanan Rebellion #1),C.J. Cherryh,score: 123,2 people voted, 3.70 avg rating — 506 ratings
601,601,"Taylor's Ark (Taylor's Ark, 1)",Jody Lynn Nye,score: 123,2 people voted, 3.77 avg rating — 151 ratings
602,603,Hellspark,Janet Kagan,score: 122,2 people voted, 4.42 avg rating — 739 ratings
603,604,Falcon,Emma Bull,score: 120,2 people voted, 3.82 avg rating — 478 ratings
604,604,"Beholder's Eye (Web Shifters, #1)",Julie E. Czerneda,score: 120,2 people voted," 3.96 avg rating — 1,520 ratings"
605,604,"Hope's Folly (Dock Five Universe, #3)",Linnea Sinclair,score: 120,2 people voted," 3.98 avg rating — 1,328 ratings"
606,607,Hunter of Worlds (Hanan Rebellion #2),C.J. Cherryh,score: 119,2 people voted, 3.81 avg rating — 568 ratings
607,607,"Breathe (Breathe, #1)",Sarah Crossan,score: 119,2 people voted," 3.70 avg rating — 16,207 ratings"
608,607,"XVI (XVI, #1)",Julia Karr,score: 119,2 people voted," 3.45 avg rating — 7,615 ratings"
609,610,The Anything Box,Zenna Henderson,score: 118,2 people voted, 4.31 avg rating — 699 ratings
610,611,"Forge of Heaven (The Gene Wars, #2)",C.J. Cherryh,score: 117,4 people voted, 3.79 avg rating — 678 ratings
611,611,Up the Walls of the World,James Tiptree Jr.,score: 117,2 people voted, 3.97 avg rating — 632 ratings
612,613,Wraeththu (Wraeththu #1-3),Storm Constantine,score: 116,2 people voted," 3.94 avg rating — 2,482 ratings"
613,614,Hunters of the Red Moon,Marion Zimmer Bradley,score: 115,2 people voted," 3.83 avg rating — 1,037 ratings"
614,615,"vN (The Machine Dynasty, #1)",Madeline Ashby,score: 113,2 people voted," 3.43 avg rating — 2,673 ratings"
615,615,Ten Thousand Light-Years From Home,James Tiptree Jr.,score: 113,2 people voted, 3.99 avg rating — 522 ratings
616,617,The Stars Down Under (The Outback Stars #2),Sandra McDonald,score: 112,3 people voted, 3.41 avg rating — 239 ratings
617,618,"Karen Memory (Karen Memory, #1)",Elizabeth Bear,score: 111,2 people voted," 3.74 avg rating — 3,918 ratings"
618,619,The Creative Fire (Ruby's Song #1),Brenda Cooper,score: 109,2 people voted, 3.01 avg rating — 223 ratings
619,619,Burndive (Warchild #2),Karin Lowachee,score: 109,2 people voted, 3.92 avg rating — 799 ratings
620,621,Crystal Line (Crystal Singer #3),Anne McCaffrey,score: 107,2 people voted,"really liked it 4.00 avg rating — 10,289 ratings"
621,622,Cagebird (Warchild #3),Karin Lowachee,score: 106,2 people voted, 4.01 avg rating — 714 ratings
622,623,"North Wind (White Queen, #2)",Gwyneth Jones,score: 105,2 people voted, 3.37 avg rating — 70 ratings
623,623,Principles of Angels,Jaine Fenn,score: 105,2 people voted, 3.50 avg rating — 248 ratings
624,625,Caught in Amber,Cathy Pegau,score: 104,2 people voted, 3.50 avg rating — 161 ratings
625,626,Blue Galaxy,Diane Dooley,score: 103,2 people voted, 2.95 avg rating — 78 ratings
626,626,Made for Her,Jessica E. Subject,score: 103,2 people voted, 3.65 avg rating — 57 ratings
627,628,The Mirror,Marlys Millhiser,score: 102,2 people voted," 4.04 avg rating — 4,269 ratings"
628,629,"The Ginger Star (The Book of Skaith, #1)",Leigh Brackett,score: 100,1 person voted, 3.75 avg rating — 419 ratings
629,629,The Immortality Virus,Christine Amsden,score: 100,1 person voted, 3.69 avg rating — 154 ratings
630,629,An Uncommon Whore (An Uncommon Whore #1),Belinda McBride,score: 100,1 person voted," 3.63 avg rating — 2,018 ratings"
631,629,Astra: The Harrowing,Lisa Eskra,score: 100,1 person voted, 4.07 avg rating — 41 ratings
632,629,"A Matter of Honor (Knife of Truth, #1)",Ruth Willerth,score: 100,2 people voted, 4.14 avg rating — 21 ratings
633,629,The Edge of Darkness,Lissa Bilyk,score: 100,1 person voted, 3.63 avg rating — 52 ratings
634,629,Dreamer's Island,Gretchen Hummel,score: 100,1 person voted, 4.25 avg rating — 20 ratings
635,629,Singularity (Sanctuary series #3),Jess Anastasi,score: 100,1 person voted,it was amazing 5.00 avg rating — 1 rating
636,629,The Cantor Dimension,Sharon Delarose,score: 100,1 person voted,really liked it 4.00 avg rating — 20 ratings
637,629,"Wolf Dawn (Forsaken Worlds, #1)",Susan  Cartwright,score: 100,1 person voted, 3.61 avg rating — 307 ratings
638,629,"Tierra del Fuego, Colony Ship; Parting Shots",Caron Cro,score: 100,1 person voted, 4.16 avg rating — 19 ratings
639,629,21 Erased,Barbara Rayne,score: 100,1 person voted, 3.29 avg rating — 42 ratings
640,629,The Marcella Fragment,Anna LaForge,score: 100,1 person voted, 3.83 avg rating — 23 ratings
641,629,The Willow and the Stone,Tamara Jock,score: 100,1 person voted, 4.75 avg rating — 4 ratings
642,629,"The Priest (Ginecean Chronicles, #1)",Monica La Porta,score: 100,1 person voted, 3.72 avg rating — 162 ratings
643,629,Sunburst,Phyllis Gotlieb,score: 100,1 person voted, 3.56 avg rating — 62 ratings
644,629,Blood and Matzah,Christine  Brown,score: 100,1 person voted, 3.77 avg rating — 13 ratings
645,629,Dementional,Tonya Cannariato,score: 100,1 person voted, 4.11 avg rating — 18 ratings
646,629,A week in the future : Catherine Helen Spence's 1888 forecast of life in 1988,Catherine Helen Spence,score: 100,1 person voted, 3.54 avg rating — 13 ratings
647,629,Dream of Time,Nancy J. Price,score: 100,1 person voted, 3.86 avg rating — 66 ratings
648,629,Bounty Hunter,S.J. Hollis,score: 100,1 person voted, 4.08 avg rating — 89 ratings
649,629,The Earth Girl and Queen Eliza,C.C. Alma,score: 100,1 person voted, 3.89 avg rating — 36 ratings
650,629,The Neanderthal's Aunt,Gina DeMarco,score: 100,1 person voted, 3.87 avg rating — 92 ratings
651,629,Legendary Detective at the World's End,Kaye Wagner,score: 100,1 person voted, 3.25 avg rating — 195 ratings
652,629,Time Travels: The First Adventures,J.S. Blackman,score: 100,1 person voted, 4.38 avg rating — 8 ratings
653,629,Legacy Code (Legacy Code #1),Autumn Kalquist,score: 100,1 person voted," 3.39 avg rating — 1,782 ratings"
654,629,Women's Work,Kari Aguila,score: 100,1 person voted, 3.69 avg rating — 121 ratings
655,629,Fomatsu,Anna  Hammond,score: 100,1 person voted, 3.80 avg rating — 5 ratings
656,629,The Third Sign,Michelle O'Leary,score: 100,1 person voted, 3.91 avg rating — 98 ratings
657,629,Natural History,Justina Robson,score: 100,1 person voted, 3.61 avg rating — 607 ratings
658,629,"Cimmerian City (Cimmerian, #1)",Rae Lori,score: 100,1 person voted,really liked it 4.00 avg rating — 24 ratings
659,629,Ange'el,Jamie Le Fay,score: 100,1 person voted, 3.70 avg rating — 20 ratings
660,629,"Dining Out Around the Solar System (Dining Out Around The Solar System, #1)",Clare O'Beara,score: 100,1 person voted, 4.28 avg rating — 39 ratings
661,629,"The Extraction List (The Extraction List, #1)",Renee N. Meland,score: 100,1 person voted, 4.07 avg rating — 90 ratings
662,629,The Ark,Annabel Smith,score: 100,1 person voted, 4.03 avg rating — 61 ratings
663,629,"Genetically Altered (Genetically Modified, #1)",Tracie Molton,score: 100,1 person voted, 3.29 avg rating — 14 ratings
664,629,Dog Aliens 1: Raffle's Name (Dog Aliens #1),Cherise Kelley,score: 100,1 person voted, 3.59 avg rating — 306 ratings
665,629,Falaha's Journey: A Spacegirl's Account in Three Movements,Jeno Marz,score: 100,1 person voted, 4.19 avg rating — 16 ratings
666,629,Dark Prophet (The Chronicles of Koa #2),K.N. Lee,score: 100,1 person voted, 4.31 avg rating — 176 ratings
667,629,Lessons in Space,Molly Tabachnikov,score: 100,1 person voted, 3.75 avg rating — 4 ratings
668,629,"The Least of Elves (Azetha, #0.5)",Robin Glassey,score: 100,1 person voted, 4.65 avg rating — 34 ratings
669,629,The Dream Crystals of Gandara,Charlotte McGary,score: 100,1 person voted, 4.50 avg rating — 6 ratings
670,629,"Compile: Quest (The Corrupted SUN Script, #1)",Ronel van Tonder,score: 100,1 person voted, 4.26 avg rating — 47 ratings
671,629,The Crossing Hour,Quoleena Sbrocca,score: 100,1 person voted, 3.80 avg rating — 46 ratings
672,629,Return to Emerald City,Allyson Lindt,score: 100,1 person voted,really liked it 4.00 avg rating — 11 ratings
673,629,"Gemsigns (®Evolution, #1)",Stephanie Saulter,score: 100,1 person voted, 3.80 avg rating — 419 ratings
674,629,Where the Deer Dwell,Dorothy Gravelle,score: 100,1 person voted, 3.73 avg rating — 67 ratings
675,629,Hero is a Man (Glyph Warrior #1),Nix Whittaker,score: 100,1 person voted, 4.18 avg rating — 28 ratings
676,629,Transmutation of Noah,C.S. Royce,score: 100,1 person voted, 4.67 avg rating — 3 ratings
677,629,Amber Smoke (The Escaped #1),Kristin Cast,score: 100,1 person voted," 3.39 avg rating — 1,291 ratings"
678,629,Captured By The Hunter,Britt DeLaney,score: 100,1 person voted, 4.20 avg rating — 10 ratings
679,629,"Time's Tempest (The Chronicles of Xannia, #1)",M.J. Moores,score: 100,1 person voted, 4.56 avg rating — 25 ratings
680,629,The Webs of Varok (The Archives of Varok #2),Cary Neeper,score: 100,1 person voted,really liked it 4.00 avg rating — 13 ratings
681,629,Nothing But Your Memories,H.B. Clementine,score: 100,1 person voted, 3.13 avg rating — 15 ratings
682,629,Starquest (Bk 1),Hywela Lyn,score: 100,1 person voted, 4.43 avg rating — 21 ratings
683,629,The Generation,Holly Cave,score: 100,1 person voted, 3.69 avg rating — 93 ratings
684,629,Talismen: Birthstones,Elizabeth C. Robinson,score: 100,1 person voted,it was amazing 5.00 avg rating — 2 ratings
685,629,"The Battle of Castle Nebula (The Cendrillon Cycle, #1)",Stephanie Ricker,score: 100,1 person voted, 4.08 avg rating — 52 ratings
686,629,A Far Far Better Thing (Legends of the Goldens #1),S.B.K. Burns,score: 100,1 person voted, 3.29 avg rating — 34 ratings
687,629,Connected: The Call,Michelle Medhat,score: 100,1 person voted, 3.76 avg rating — 42 ratings
688,629,Vagabond,J.D. Brewer,score: 100,1 person voted, 4.18 avg rating — 74 ratings
689,629,"Crossing in Time (Between Two Evils, #1)",D.L. Orton,score: 100,1 person voted, 4.10 avg rating — 449 ratings
690,629,Auguries of Dawn (The Legends of Dhanen'Mar - Volume 1),Peyton Reynolds,score: 100,1 person voted, 4.06 avg rating — 109 ratings
691,629,The Adventures of Armstrong Dent: The Complete First Season,Aeyess,score: 100,1 person voted, 4.56 avg rating — 25 ratings
