,title,series,number_in_series,score,vote,number_of_ratings
914,The Edge of the Abyss,The Abyss Surrounds Us,2,94,1 person voted,"1,444"
915,The Color of Distance,-,-,94,1 person voted,715
916,Passenger,Passenger,1,94,1 person voted,"32,327"
917,The End of the Game,The End of the Game,1-3,93,1 person voted,164
918,Deep Black Beyond,-,-,93,1 person voted,12
919,Being Alien,Saga of Tom Red-Clay,2,93,1 person voted,100
920,Awake,Asleep,2,93,1 person voted,28
921,One for Kami,-,-,93,2 people voted,30
922,Weatherman,-,-,93,3 people voted,"1,305"
923,Goodbye for Now,-,-,93,1 person voted,"3,479"
924,Contract of War,Spectras Arise Trilogy,3,93,1 person voted,64
925,Entwined with You,Crossfire,3,93,1 person voted,"168,178"
926,,,,93,1 person voted,14
927,Going Dark,Silo 49,1,93,1 person voted,"2,072"
928,The One,The Selection,3,93,1 person voted,"303,309"
929,The Initiate,Divergent,0.2,93,1 person voted,"22,254"
930,Shoggoths in Bloom and Other Stories,-,-,93,1 person voted,406
931,The End of This Day's Business,-,-,93,1 person voted,28
932,Mine Tomorrow,-,-,93,1 person voted,20
933,Everfair,-,-,93,1 person voted,"1,600"
934,Wayfarer,Passenger,2,93,1 person voted,"10,358"
935,Sweet Child of Time,-,-,93,1 person voted,3
936,Enclave,-,-,92,1 person voted,201
937,Someone To Watch Over Me,-,-,92,1 person voted,61
938,The Living Blood,African Immortals,2,92,1 person voted,"1,932"
939,The Sky Inside,The Sky Inside,1,92,1 person voted,"1,735"
940,You Shouldn't Call Me Mommy,-,-,92,1 person voted,37
941,Lone Wolf Rising,The Winters Family Saga,1,92,1 person voted,730
942,Reading the Bones,-,-,92,1 person voted,70
943,Blueeyedboy,-,-,92,1 person voted,"3,893"
944,The Zero Stone,The Zero Stone,1,92,1 person voted,"1,182"
945,Losing Hope,Hopeless,2,92,1 person voted,"90,629"
946,,,,92,1 person voted,18
947,CHIMERAS,Track Presius ,1,92,1 person voted,150
948,Ghost Ship,Star Trek: The Next Generation,1,92,1 person voted,"1,861"
949,Under Different Stars,Kricket,1,92,1 person voted,"16,034"
950,Octavia's Brood: Science Fiction Stories from Social Justice Movements,-,-,92,1 person voted,"1,822"
951,The Day Her Heart Stood Still,-,-,92,1 person voted,141
952,World After,Penryn & the End of Days,2,92,1 person voted,"80,879"
953,Remember the Future,-,-,92,1 person voted,3
954,Hav,-,-,91,1 person voted,378
955,Archangel Protocol,LINK Angel,1,91,1 person voted,431
956,Vampire Princess Rising,The Winters Family Saga,2,91,1 person voted,227
957,The Hired Hands' Dilemma,The Men of Space Station One,3,91,1 person voted,134
958,The Price of the Phoenix,Star Trek Adventures,4,91,1 person voted,593
959,,,,91,1 person voted,17
960,Probability Sun,Probability,2,91,1 person voted,664
961,Kabu Kabu,-,-,91,1 person voted,"1,035"
962,Califia's Daughters,-,-,91,1 person voted,711
963,The Star Queen,Star,0.5,91,1 person voted,197
964,A Strange Scottish Shore,Emmaline Truelove,2,91,1 person voted,658
965,Cold Welcome,Vatta's Peace,1,91,1 person voted,"2,298"
966,The Queen of the Tearling,The Queen of the Tearling,1,91,1 person voted,"72,161"
967,The Wonderful Flight to the Mushroom Planet,-,-,91,1 person voted,"2,167"
968,Gravity Spike,-,-,91,1 person voted,4
969,Chaos Space,Sentients of Orion,2,90,2 people voted,149
970,A Billion Days of Earth,-,-,90,1 person voted,70
971,The Color of Bones,-,-,90,1 person voted,140
972,Zero Hour,-,-,90,1 person voted,517
973,The Fate of the Phoenix,Star Trek Adventures ,11,90,1 person voted,400
974,,,,90,1 person voted,58
975,Eden,Eden,1,90,1 person voted,"1,268"
976,Prodigy,Legend,2,90,1 person voted,"183,336"
977,The Champion of Barésh,"Star, #4; Star World Frontier",1,90,1 person voted,507
978,A Most Extraordinary Pursuit,Emmaline Truelove,1,90,1 person voted,894
979,Into the Fire,Vatta's Peace,2,90,1 person voted,"1,345"
980,Forgotten Suns,-,-,90,1 person voted,283
981,The Fates Divide,Carve the Mark,2,90,1 person voted,"13,909"
982,Children of the Morning,-,-,90,1 person voted,15
983,Human to Human,Saga of Tom Red-Clay,3,89,1 person voted,70
984,Steal Across the Sky,-,-,89,1 person voted,"1,164"
985,The Twenty,Barronlands Trilogy,1,89,1 person voted,61
986,The Girls From Alcyone,The Girls from Alcyone ,1,89,1 person voted,"1,783"
987,The Ranchers Take a Wife,The Men of Space Station One,1,89,1 person voted,239
988,Exiles of the Stars,Moon Magic,2,89,1 person voted,516
989,The Last Warrior,Lost Colony ,1,89,1 person voted,208
990,Year One,Chronicles of The One,1,89,1 person voted,"43,074"
991,Null States: Book Two of the Centenal Cycle,-,-,89,1 person voted,874
992,Beyond the Empire,The Indranan War,3,89,1 person voted,862
993,Continuum,-,-,89,1 person voted,10
994,The Awakeners: Northshore & Southshore,The Awakeners,1-2,88,1 person voted,964
995,Gaia's Toys,-,-,88,1 person voted,40
996,Code of Conduct,Jani Kilian Chronicles,1,88,2 people voted,"1,311"
997,Mindscape,-,-,88,1 person voted,123
998,The Ruby Dice,Saga of the Skolian Empire,12,88,1 person voted,750
999,The People in the Trees,-,-,88,1 person voted,"13,841"
1000,City of Ruins,Diving Universe,2,88,2 people voted,569
1001,Elegy for a Lost Star,Symphony of Ages,5,88,1 person voted,"5,509"
1002,The Star Princess,Star,3,88,1 person voted,861
1003,Heart of Iron,Heart of Iron,1,88,1 person voted,"3,732"
1004,Believing is Seeing,-,-,88,1 person voted,410
1005,The Future Memory Man,-,-,88,1 person voted,4
1006,Becoming Alien,Saga of Tom Red-Clay,1,87,1 person voted,190
1007,Spherical Harmonic,Saga of the Skolian Empire,7,87,1 person voted,732
1008,Disobedience Means Death,Rymellan,1,87,1 person voted,45
1009,Sharing the Female From Earth,Lost in Space,1,87,1 person voted,73
1010,Allison Hewitt Is Trapped,Zombie,1,87,1 person voted,"3,883"
1011,Requiem for the Sun,Symphony of Ages,4,87,1 person voted,"6,471"
1012,Ice,-,-,87,1 person voted,"2,893"
1013,Silver Shark,Kinsmen,2,87,1 person voted,"7,570"
1014,The Physician's Tale,The Plague Tales,3,87,1 person voted,549
1015,Proud Man,-,-,87,1 person voted,32
1016,The Blazing World and Other Writings,-,-,87,1 person voted,629
1017,Sureblood,Borderlands,3,87,1 person voted,199
1018,Honor Among Thieves,The Honors,1,87,1 person voted,"2,792"
1019,A Secret Twice Hidden,-,-,87,1 person voted,3
1020,Kinderen van Moeder Aarde,De Toekomsttrilogie,1,86,1 person voted,"3,071"
1021,Four Ways to Forgiveness,-,-,86,1 person voted,"2,989"
1022,The Panopticon,-,-,86,1 person voted,"4,381"
1023,How to Lose an Extraterrestrial in 10 Days,Otherworldly Men,3,86,2 people voted,408
1024,The Masterharper of Pern,Pern,15,86,2 people voted,"21,980"
1025,Destiny: Child of the Sky,Symphony of Ages,3,86,1 person voted,"10,522"
1026,Silent Blade,Kinsmen,1,86,1 person voted,"9,936"
1027,Dreamstrider,-,-,86,1 person voted,863
1028,Artificial Condition,The Murderbot Diaries,2,86,1 person voted,"17,573"
1029,Plausible Deniability,-,-,86,1 person voted,7
1030,Tsunami,-,-,85,1 person voted,31
1031,Het Helse Paradijs,De Toekomsttrilogie,2,85,1 person voted,"1,794"
1032,Summer of Love,-,-,85,1 person voted,300
1033,"Everlasting: Der Mann, der aus der Zeit fiel",-,-,85,1 person voted,606
1034,Prophecy: Child of Earth,Symphony of Ages,2,85,1 person voted,"12,077"
1035,Android at Arms,-,-,85,1 person voted,261
1036,La Ballade de Trash,-,-,85,1 person voted,10
1037,Shatter Me,Shatter Me,1,85,1 person voted,"246,672"
1038,The Star Prince,Star,2,85,1 person voted,748
1039,Rogue Protocol,The Murderbot Diaries,3,85,1 person voted,"13,323"
1040,The Homeward Bounders,-,-,85,1 person voted,"3,890"
1041,The Time Shifters Chronicles volume 1: Episodes One through Five of the Chronicles of the Harekaiian,-,-,85,1 person voted,4
1042,Watcher's Web,Return of the Aghyrians,1,84,1 person voted,693
1043,Het Gulden Vlies van Thule,De Toekomsttrilogie,3,84,1 person voted,"1,873"
1044,Haven 6,A New Dawn,3,84,1 person voted,45
1045,"On a Red Station, Drifting",-,-,84,1 person voted,"1,078"
1046,The Keeper of the Isis Light,Isis,1,84,1 person voted,"1,141"
1047,Rhapsody: Child of Blood,Symphony of Ages,1,84,1 person voted,"18,194"
1048,Battlestations!,Star Trek: Fortunes Of War,2,84,1 person voted,"1,050"
1049,The Huntress,-,-,84,1 person voted,190
1050,Les Abîmes d'Autremer,-,-,84,1 person voted,81
1051,The Star King,Star,1,84,1 person voted,"1,963"
1052,Exit Strategy,The Murderbot Diaries,4,84,1 person voted,"11,721"
1053,Blood in the Fruit,-,-,83,1 person voted,29
1054,Day by Night,-,-,83,1 person voted,180
1055,His Name In Lights,-,-,83,1 person voted,35
1056,Fey Lights,-,-,83,1 person voted,25
1057,Angel on the Ropes,-,-,83,1 person voted,62
1058,"Ōoku: The Inner Chambers, Volume 1",Ōoku: The Inner Chambers / 大奥,1,83,1 person voted,"2,308"
1059,The Solar Queen,Solar Queen,1-2,83,1 person voted,394
1060,L'envol de l'abîme,-,-,83,1 person voted,49
1061,My Favorite Earthling,Otherworldly Men,2,83,1 person voted,366
1062,Mother Aegypt and Other Stories,-,-,82,2 people voted,358
1063,Phoenix Café,White Queen,3,82,1 person voted,55
1064,This Peaceful State of War,-,-,82,1 person voted,36
1065,Beneath the Starry Sky,1Night Stand,70,82,2 people voted,95
1066,Touched by an Alien,"Katherine ""Kitty"" Katt",1,82,1 person voted,"5,052"
1067,Rediscovery ,Darkover - Chronological Order ,11,82,1 person voted,"2,106"
1068,L'appel des abîmes,-,-,82,1 person voted,36
1069,Provenance,-,-,82,1 person voted,"10,071"
1070,Wrapt in Crystal,-,-,81,1 person voted,"1,425"
1071,The Far Horizon,-,-,81,1 person voted,27
1072,When You Reach Me,-,-,81,1 person voted,"78,090"
1073,The Fulfilments of Fate and Desire,Wraeththu,3,81,1 person voted,667
1074,MILA 2.0,MILA 2.0,1,81,1 person voted,"11,113"
1075,Your Planet or Mine?,Otherworldly Men,1,81,1 person voted,564
1076,The Kingdom of Gods,Inheritance,3,81,1 person voted,"13,612"
1077,Floating Worlds,-,-,80,1 person voted,476
1078,Charlotte's Army,-,-,80,1 person voted,23
1079,Nekropolis,-,-,80,1 person voted,485
1080,The Silicon Mage,Windrose Chronicles,2,80,2 people voted,"2,131"
1081,Windfalls,-,-,80,1 person voted,280
1082,Refugees on Urloon,-,-,80,1 person voted,24
1083,Heir Apparent,Rasmussem Corporation,2,80,1 person voted,"9,399"
1084,The Bewitchments of Love and Hate,Wraeththu,2,80,1 person voted,749
1085,Smoketown,-,-,80,1 person voted,103
1086,Night Shift,"Kate Daniels, #6.5; SPI Files, # 0.5; Psy-Changeling, #12.5; Barbarian",1,80,1 person voted,"8,262"
1087,Seven Surrenders,Terra Ignota,2,80,1 person voted,"3,135"
1088,The Deep Beyond: Cuckoo's Egg / Serpent's Reach,-,-,79,1 person voted,354
1089,Imposter,Harmony of Worlds,3,79,1 person voted,30
1090,Twin-Bred,Twin-Bred ,1,79,1 person voted,141
1091,Luminescence,-,-,79,1 person voted,9
1092,The Academie,Academie,1,79,1 person voted,308
1093,Unacceptable Risk,-,-,79,1 person voted,58
1094,Void,Hex,1-3,79,1 person voted,452
1095,The Enchantments of Flesh and Spirit,Wraeththu,1,79,1 person voted,"1,312"
1096,Alien Species Intervention,Species Intervention #6609,1-3,79,79 people voted,917
1097,Lauriat: A Filipino-Chinese Speculative Fiction Anthology,-,-,79,1 person voted,34
1098,An Apple for the Creature,-,-,79,1 person voted,"7,467"
1099,The Starfarers Quartet,-,-,79,1 person voted,35
1100,The Warlord's Daughter,Borderlands,2,79,1 person voted,401
1101,Motherlines,Holdfast Chronicles,2,78,2 people voted,234
1102,Becoming Human,Harmony of Worlds,2,78,1 person voted,114
1103,The Silent Tower,Windrose Chronicles,1,78,2 people voted,"3,161"
1104,Machine,-,-,78,1 person voted,151
1105,Ultraviolet,Ultraviolet,1,78,1 person voted,"8,897"
1106,The Rapture,-,-,78,1 person voted,"2,149"
1107,Dragon's Blood,Pit Dragon Chronicles,1,77,1 person voted,"11,442"
1108,The Fantastic Pulps,-,-,77,1 person voted,35
1109,Magic Graves,"Night Huntress, #4.5; Kate Daniels",0.5,77,1 person voted,"10,665"
1110,The Scarlet Empress,2176 Series,5,77,1 person voted,339
1111,Judge,Wess'Har Wars,6,77,1 person voted,486
1112,The Resistance,The Declaration,2,76,1 person voted,"6,703"
1113,Reach,Twin-Bred,2,76,1 person voted,21
1114,Greenshift,-,-,76,1 person voted,101
1115,Ghost Ship,"Theo Waitley, #3; Liaden Universe",15,76,3 people voted,"1,735"
1116,Cosmos Latinos: An Anthology of Science Fiction from Latin America and Spain,-,-,76,1 person voted,60
1117,Icarus Descending,-,-,76,1 person voted,150
1118,Magic Dreams,Kate Daniels,4.5,76,1 person voted,"14,671"
1119,Once a Pirate,-,-,76,1 person voted,540
1120,Matriarch,Wess'Har Wars,4,76,1 person voted,665
1121,Enemy Within,Enemy,1,75,1 person voted,"1,170"
1122,The Stars Blue Yonder,The Outback Stars ,3,75,3 people voted,138
1123,Division,-,-,75,1 person voted,24
1124,Paradise 21,A New Dawn,1,75,1 person voted,235
1125,Sambaqui: A Novel of Pre-History,-,-,75,1 person voted,5
1126,Zoo City,-,-,75,2 people voted,"9,484"
1127,Shiawase no Zanzou,-,-,75,1 person voted,"6,336"
1128,Ally,Wess'Har Wars,5,75,1 person voted,559
1129,Daughter of the Bear King,-,-,74,1 person voted,36
1130,Dante's Equation,-,-,74,1 person voted,923
1131,Marked by Light,Ambasadora ,1,74,1 person voted,195
1132,The Bar Code Tattoo,Bar Code,1,74,1 person voted,"15,761"
1133,Liam's Promise,The Doomsday Kids ,1,74,1 person voted,96
1134,In the Company of Others,-,-,74,1 person voted,"1,025"
1135,A House of Secrets,-,-,74,1 person voted,28
1136,Freedom's Choice,Catteni,2,74,1 person voted,"7,143"
1137,The World Before,Wess'Har Wars,3,74,1 person voted,785
1138,Lost in the Seven Worlds,-,-,73,1 person voted,91
1139,The Kindly Ones,-,-,73,2 people voted,185
1140,Dreamships,-,-,73,2 people voted,471
1141,The Copper Crown,The Tales of Aeron,1,73,1 person voted,"1,473"
1142,Lord Of Thunder,Beast Master / Hosteen Storm,2,73,1 person voted,604
1143,Freedom's Challenge,-,-,73,1 person voted,"6,125"
1144,Crossing the Line,Wess'har Wars,2,73,1 person voted,928
1145,Life As We Knew It,Last Survivors,1,73,1 person voted,"106,618"
1146,Pangaea  Book II: Imperium Afire,-,-,72,1 person voted,11
1147,Rulebreaker,-,-,72,1 person voted,186
1148,The Planet Savers,-,-,72,1 person voted,"1,563"
1149,Star Ka'at,-,-,72,1 person voted,338
1150,After the Snow,After the Snow,1,72,2 people voted,"1,671"
1151,Freedom's Ransom,Catteni,4,72,1 person voted,"4,526"
1152,Flight in Yiktor,Moon Magic,3,71,1 person voted,476
1153,Angel with the Sword,Merovingen Nights ,0,71,2 people voted,901
1154,Fourth World,Missing Link,1,71,1 person voted,228
1155,Rock Crazy,-,-,71,1 person voted,19
1156,Terra Nova: An Anthology of Contemporary Spanish Science Fiction,-,-,71,1 person voted,174
1157,The Jargoon Pard,Witch World Series 2: High Hallack Cycle,3,70,1 person voted,"1,044"
1158,Eva Fairdeath,-,-,70,1 person voted,143
1159,We Who Are About To...,-,-,70,2 people voted,804
1160,Starfarers,-,-,70,2 people voted,415
1161,Guardians of Paradise,-,-,70,1 person voted,99
1162,Singing the Dogstar Blues,-,-,70,1 person voted,988
1163,Hotter on the Edge 2,Hotter on the Edge,2,70,1 person voted,31
1164,Echoes of Regret,The Telomere Trilogy,2,69,1 person voted,3
1165,Transition,-,-,69,2 people voted,249
1166,Bringer Of Light,-,-,69,1 person voted,69
1167,Nimisha's Ship,-,-,69,1 person voted,"3,348"
1168,The Change,Animorphs,13,69,1 person voted,"3,736"
1169,To Save a World,Darkover Omnibus,7,68,1 person voted,297
1170,Mako's Bounty,1Night Stand,95,68,1 person voted,23
1171,Reliquary,Stargate Atlantis,2,68,1 person voted,616
1172,Fires of Azeroth,Morgaine & Vanye,3,68,2 people voted,"1,056"
1173,Well of Shiuan,Morgaine & Vanye,2,68,2 people voted,"1,171"
1174,The Threat,Animorphs,21,68,1 person voted,"2,617"
1175,Technogenesis,-,-,68,1 person voted,144
1176,Kicking Ashe,Project Enterprise,5,67,1 person voted,54
1177,Entanglement,Stargate Atlantis,6,67,1 person voted,417
1178,Darkover: First Contact,Darkover Omnibus,6,67,2 people voted,988
1179,Hunted,Medusa Project,4,67,1 person voted,"1,408"
1180,The Discovery,Animorphs,20,67,1 person voted,"2,879"
1181,Painted Promise,-,-,66,1 person voted,15
1182,Metaphase,-,-,66,2 people voted,207
1183,Hell's End,Hellscape,1,66,1 person voted,110
1184,Ark Baby,-,-,66,1 person voted,267
1185,The Solution,Animorphs,22,66,1 person voted,"2,759"
1186,Starglass,Starglass,1,66,1 person voted,"2,325"
1187,Only Ever Yours,-,-,66,1 person voted,"11,439"
1188,Survey Ship,-,-,65,1 person voted,296
1189,Line and Orbit,Root Code,1,65,1 person voted,779
1190,The Underground,Animorphs,17,65,1 person voted,"2,923"
1191,Earth's Last Citadel,-,-,65,1 person voted,119
1192,Gather the Daughters,-,-,65,1 person voted,"5,907"
1193,A Symphony of Echoes,The Chronicles of St Mary's,2,65,1 person voted,"10,585"
1194,Solar Storm,-,-,64,1 person voted,191
1195,Dr. Franklin's Island,-,-,64,1 person voted,"2,130"
1196,The Warning,Animorphs,16,64,1 person voted,"3,099"
1197,Just One Damned Thing After Another,The Chronicles of St Mary's,1,64,1 person voted,"21,758"
1198,The Silver Spoon,-,-,63,1 person voted,22
1199,Doc and Fluff: The Dystopian Tale of a Girl and Her Biker,-,-,63,1 person voted,207
1200,Consorts of Heaven,-,-,63,1 person voted,111
1201,His Clockwork Canary,The Glorious Victorious Darcys,2,63,1 person voted,297
1202,Changing Women,A Woman of the Iron People,2,63,1 person voted,46
1203,The Clouded Sky,Earth & Sky,2,63,1 person voted,280
1204,The Decision,Animorphs,18,63,1 person voted,"2,874"
1205,The Far Time Incident,The Incident Series,1,63,1 person voted,655
1206,Forest of Memory,-,-,63,1 person voted,"1,015"
1207,The Invasion of the Tearling,The Queen of the Tearling,2,63,1 person voted,"40,932"
1208,7% and Rising,-,-,62,1 person voted,13
1209,Tortured,Birthmarked,1.5,62,1 person voted,"4,612"
1210,Don't Feed the Fairies,The Cytolene Chronicles,1,62,1 person voted,50
1211,Shadow on the Hearth,-,-,62,1 person voted,48
1212,Those Who Lived,Fallen World,3.5,62,1 person voted,112
1213,The Departure,Animorphs,19,62,1 person voted,"3,039"
1214,Origin,Corpus,1,62,1 person voted,"14,142"
1215,The Just City,Thessaly,1,62,1 person voted,"5,161"
1216,Unmasked,UN-Forgettable,4,61,1 person voted,324
1217,Earth & Sky,Earth & Sky,1,61,1 person voted,823
1218,The Forgotten,Animorphs,11,61,1 person voted,"3,504"
1219,Lightwing,-,-,61,1 person voted,175
1220,The Worlds We Make,Fallen World,3,60,1 person voted,"1,139"
1221,Elysium,-,-,60,1 person voted,701
1222,The Escape,Animorphs,15,60,1 person voted,"3,281"
1223,Half the Day is Night,-,-,59,2 people voted,234
1224,Dining Out with the Ice Giants,Dining Out Around The Solar System,2,59,1 person voted,30
1225,Brave New Worlds,-,-,59,1 person voted,"2,358"
1226,The Lives We Lost,Fallen World,2,59,1 person voted,"2,353"
1227,The Unknown,Animorphs,14,59,1 person voted,"3,290"
1228,Star Shadows,Oasis,3,58,1 person voted,76
1229,The Brede Chronicles,The Brede Chronicles,1,58,1 person voted,27
1230,Extraordinary Engines: The Definitive Steampunk Anthology,-,-,58,1 person voted,734
1231,The Way We Fall,Fallen World,1,58,1 person voted,"7,470"
1232,Visser,Animorphs Chronicles,3,58,1 person voted,"2,279"
1233,Earth Dreams,-,-,58,1 person voted,103
1234,The Body Electric,-,-,57,1 person voted,"2,018"
1235,The Secret,Animorphs,9,57,1 person voted,"3,871"
1236,Dining Out with the Gas Giants,Dining Out Around The Solar System,3,57,1 person voted,11
1237,Green Heart,Green Angel,1-2,56,1 person voted,"1,751"
1238,AfroSF: Science Fiction by African Writers,-,-,56,1 person voted,191
1239,As They Slip Away,Across the Universe,2.5,56,1 person voted,"2,436"
1240,The Reaction,Animorphs,12,56,1 person voted,"3,669"
1241,Taking Liberty,-,-,55,1 person voted,68
1242,Shades of Earth,Across the Universe,3,55,1 person voted,"29,479"
1243,The Android,Animorphs,10,55,1 person voted,"3,803"
1244,Star-Crossed,-,-,54,1 person voted,7
1245,Oddily,Oddily,1,54,1 person voted,631
1246,The Diploids and Other Flights of Fancy,-,-,54,1 person voted,14
1247,A Million Suns,Across the Universe,2,54,1 person voted,"50,068"
1248,The Predator,Animorphs,5,54,1 person voted,"5,021"
1249,Undertow,-,-,53,1 person voted,515
1250,Bumped,Bumped,1,53,1 person voted,"12,783"
1251,The Capture,Animorphs,6,53,1 person voted,"5,449"
1252,Dushau,Dushau Trilogy,1,52,1 person voted,52
1253,Close Encounters,Alien Affairs,1,52,2 people voted,"1,186"
1254,Swans and Klons,-,-,52,1 person voted,123
1255,The Stars Are Ours,-,-,52,1 person voted,725
1256,The Stranger,Animorphs,7,52,1 person voted,"4,638"
1257,The Procedure,-,-,51,1 person voted,629
1258,Out of Time,Time Travelers,2,51,1 person voted,"2,805"
1259,The Alien,Animorphs,8,51,1 person voted,"4,956"
1260,The Divide Book 1: Uprising,-,-,50,1 person voted,16
1261,Memoirs of a Spacewoman,-,-,50,1 person voted,223
1262,Code Orange,-,-,50,1 person voted,"6,087"
1263,The Message,Animorphs,4,50,1 person voted,"5,910"
1264,"Miles, Mutants, and Microbes",Vorkosigan Omnibus,5,50,1 person voted,"2,669"
1265,Star Crash,-,-,49,1 person voted,65
1266,Jerlayne,-,-,49,1 person voted,220
1267,Daughter of Elysium,-,-,49,1 person voted,304
1268,Swastika Night,-,-,49,2 people voted,"1,502"
1269,For All Time,Time Travelers,4,49,1 person voted,"1,645"
1270,The Encounter,Animorphs,3,49,1 person voted,"6,244"
1271,A Matter of Oaths,-,-,49,1 person voted,230
1272,Adaptation,Adaptation,1,48,1 person voted,"6,632"
1273,Prisoner of Time,Time Travelers,3,48,1 person voted,"2,244"
1274,The Visitor,Animorphs,2,48,1 person voted,"6,997"
1275,Miles Errant,Vorkosigan Omnibus,4,48,1 person voted,"3,959"
1276,Both Sides of Time,Time Travelers,1,47,1 person voted,"3,774"
1277,The Invasion,Animorphs,1,47,1 person voted,"12,483"
1278,,,,47,1 person voted,174
1279,Apocalypse For Realz,Apocalypse Babes,6,46,1 person voted,36
1280,Kutath,The Faded Sun,3,46,1 person voted,"1,275"
1281,The Eternity Cure,Blood of Eden,2,46,1 person voted,"33,600"
1282,Labyrinth,-,-,46,1 person voted,"3,598"
1283,Bite Me,Apocalypse Babes,5,45,1 person voted,38
1284,The Method,-,-,45,1 person voted,"2,289"
1285,'Til the World Ends,Blood of Eden,0.5,45,1 person voted,"1,192"
1286,The X Factor,Apocalypse Babes,2,44,1 person voted,66
1287,The Forever Song,Blood of Eden,3,44,1 person voted,"17,944"
1288,The Crystal Ship: Three Original Novellas of Science Fiction,-,-,44,1 person voted,40
1289,Divided Allegiance,The Deed of Paksenarrion,2,44,2 people voted,"5,341"
1290,iRobotronic,Apocalypse Babes,3,43,1 person voted,53
1291,The Eye of the Heron,-,-,43,1 person voted,"1,783"
1292,Dawn of Eden,Blood of Eden,0.5,43,1 person voted,876
1293,Break Out,Dark Desires ,1,42,1 person voted,866
1294,The Agent Gambit,Liaden Universe,9-10,42,3 people voted,669
1295,Walking the Clouds: An Anthology of Indigenous Science Fiction,-,-,42,1 person voted,201
1296,The Immortal Rules,Blood of Eden,1,42,1 person voted,"61,085"
1297,Kumbaya Much,Apocalypse Babes,4,41,1 person voted,46
1298,Barbary,-,-,41,1 person voted,139
1299,"The Blaft Anthology of Tamil Pulp Fiction, Vol. I",-,-,41,1 person voted,313
1300,Unraveled,Crewel World,3,41,1 person voted,"2,244"
1301,Catspaw,Cat,2,41,1 person voted,"2,054"
1302,Revelations of Tomorrow,The Telomere Trilogy,1,40,1 person voted,3
1303,Mission Child,-,-,40,1 person voted,456
1304,The Girl in the Road,-,-,40,1 person voted,"2,781"
1305,Born,B Cubed ,1,39,1 person voted,206
1306,The Department of Alterations,Crewel World,0.5,39,1 person voted,479
1307,Sea As Mirror,-,-,38,1 person voted,9
1308,The Z Word,Apocalypse Babes,1,38,1 person voted,192
1309,The Journal Of Nicholas The American,-,-,38,1 person voted,28
1310,Map of Power,-,-,37,1 person voted,8
1311,Body Master,The Body,1,37,1 person voted,148
1312,Moxyland,-,-,37,1 person voted,"2,900"
1313,What Mario Scietto Says,Monument 14,2.5,37,1 person voted,355
1314,Dreamfall,Cat,3,37,1 person voted,"1,124"
1315,Hunting Kat,The Triton Experiment,1,36,1 person voted,162
1316,Jake and the Other Girl,Monument 14,1.5,36,1 person voted,688
1317,Friend or Foe,-,-,35,1 person voted,3
1318,Dreamweaver's Dilemma,-,-,35,2 people voted,"1,175"
1319,Savage Drift,Monument 14,3,35,1 person voted,"5,658"
1320,Gambit,-,-,34,1 person voted,67
1321,The Dream Years,-,-,34,1 person voted,127
1322,Dress Your Marines in White,Monument 14,0.5,34,1 person voted,836
1323,Jaq's Harp,Future Tales,1,33,1 person voted,67
1324,Sky on Fire,Monument 14,2,33,1 person voted,"10,104"
1325,The Spiral Path,-,-,32,1 person voted,38
1326,Dogs of War,-,-,32,1 person voted,"1,463"
1327,Monument 14,Monument 14,1,32,1 person voted,"20,877"
1328,Hidden in Sight,Web Shifters, 3,32,1 person voted,619
1329,Changing Vision,Web Shifters,2,31,1 person voted,766
1330,Port Eternity,Age of Exploration,1,30,1 person voted,539
1331,To Trade the Stars,Trade Pact Universe,3,30,1 person voted,"1,054"
1332,Ties of Power,Trade Pact Universe,2,29,1 person voted,"1,039"
1333,Space Junque,Apocalypto,1,28,1 person voted,728
1334,The Death of Sleep,-,-,26,2 people voted,"2,771"
1335,Breaking Chance,-,-,25,1 person voted,64
1336,Shon'jir,The Faded Sun,2,25,1 person voted,"1,260"
1337,Hardship,Theirs Not to Reason Why,4,25,1 person voted,"1,663"
1338,The Wilding,In Conquest Born,2,25,1 person voted,976
1339,Tsunami Blue,Tsunami Blue,1,24,1 person voted,391
1340,Hellburner,The Company Wars,5,24,1 person voted,"1,303"
1341,Protector,Foreigner,14,24,1 person voted,"1,439"
1342,Keeping It Real,Quantum Gravity ,1,23,1 person voted,"2,535"
1343,Promise of the Flame,The Hidden Flame,2,23,1 person voted,55
1344,Exile's Gate,Morgaine Saga ,4,22,1 person voted,"1,527"
1345,The Long Tomorrow,-,-,21,1 person voted,"1,839"
1346,Frozen Heart,-,-,20,1 person voted,65
1347,Kesrith,The Faded Sun,1,20,1 person voted,"2,025"
1348,The Diamond Deep,Ruby's Song,2,20,1 person voted,65
1349,Dark Host,-,-,19,1 person voted,15
1350,The Better Part of Valor,Confederation,2,18,1 person voted,"4,692"
1351,Valor's Trial,Confederation,4,17,1 person voted,"4,342"
1352,Dreams of the Queen,The Brajj,1,16,1 person voted,95
1353,Blind Space,-,-,16,1 person voted,"1,826"
1354,Among the Living,PsyCop,1,15,1 person voted,"6,876"
1355,Queenie's Brigade,-,-,14,1 person voted,27
1356,Hellfire,Theirs Not to Reason Why,3,14,1 person voted,"2,266"
1357,The Twisted Tale of Stormy Gale,Stormy Gale,1,13,1 person voted,386
1358,Don’t Bite the Sun,Four-BEE,1,13,1 person voted,583
1359,Journey's End,-,-,12,1 person voted,4
